"","title","company","location","summary","link","description"
"11","Data Scientist","Alooba","Boston, MA","Strong foundational knowledge in data science, statistics and machine learning.","https://www.indeed.com/company/Alooba/jobs/Data-Scientist-3499e447073d51cd?fccid=d771cb4079da95ac&vjs=3","Full Job DescriptionOne Quick ThingHello friends! No matter who you are or where you come from, if you're a good data scientist, we are interested!The first step in our process is to take our fair, quick, skills assessment.https://app.alooba.com/take-assessment/4yz1uo&public_source=IndeedAbout AloobaAlooba is the world's first data and analytics skills assessment platform. Companies use Alooba to assess the skills of job applicants in data science, data analytics, data engineering, product analytics and more. We save companies time and money, and help reduce unconscious bias in the recruitment process.Alooba was founded in 2019 and we secured a seed round of capital earlier this year. Alooba is committed to hiring a diverse workforce. Our small team is spread across 6 continents and we welcome everybody.The RoleThis is a part-time remote role. We are looking for data scientists to help bring our test question content to the next level. We'll also be looking to hire full time roles early next year to work internally on data science problems, so a great opportunity for strong performers.ResponsibilitiesDevise and write assessment questions in core areas of data scienceQuality check other experts' questionsHelp devise and plan the test question roadmap, to ensure our product comprehensively covers all relevant skillsWe'd love you to have: Strong written English communication skillsStrong foundational knowledge in data science, statistics and machine learningExpertise in any of: AI, machine learning, deep learning, neural networks, NLP, computer vision etc.Extensive experience in implementing data science models in the real world, not just university or MOOCsVery high attention to detailAbility to work autonomouslyYour own computer and stable internet connectionIt'd be nice if you also had: Knowledge of any other core tools and technologies in data engineering, data science, data analytics etc, including streaming technologies, ELT, ETL, big data, SQL databases, NoSQL databases, any relevant programming languages (R, Python, Scala etc.), Git etc.Contract length: 3 monthsPart-time hours: 10 per weekJob Types: Part-time, ContractSalary: $30.00 - $70.00 per hourWork Remotely:Yes"
"12","Junior Data Scientist","PIÑATA SCIENCES","Boston, MA","As an energetic data scientist you will be responsible for taking in person findings and developing practical business solutions for our clients.","https://www.indeed.com/rc/clk?jk=7ee6e4997258f140&fccid=f8b1d4b5fc1e6f9f&vjs=3","Pinata Scienes is looking for an up and coming Data Scientist. This data driven individual will work to support our data science team to deliver scalable solutions that provide real-word business value. In addition to building solutions, you must possess the aptitude and hunger to learn. As an energetic data scientist you will be responsible for taking in person findings and developing practical business solutions for our clients. In order to succeed in this role, you must be passionate about solving business problems using data science.
Come bust open some data with us!
MAIN REQUIREMENTS:
Some experience building and implementing predictive models
Excellent customer engagement skills
Strong organizational, communication, writing and interpersonal skills
Expereience with a variety of technical tools for the manipulation of datasets
1-2 years of real-world business experience
Up to 50% travel
DESIRED SKILLS:
Experience with machine learning techniques
Fluency with scripting (Python / R)
Experience with Hadoop and related Big Data technologies"
"13","Data Scientist / Engineer","Harvard University","Boston, MA","00 - Non Union, Exempt or Temporary.","https://www.indeed.com/rc/clk?jk=f51201ad681b4071&fccid=5507a64404691526&vjs=3","Job Code
I0756P Applications Professional II
Sub-Unit
-
Department
Neurobiology
Time Status
Full-time
Salary Grade
056
Union
00 - Non Union, Exempt or Temporary
Pre-Employment Screening
Education, Identity
Schedule
35 hrs. per week | Monday - Friday | 9:00 am - 5:00 pm
EEO Statement
We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, gender identity, sexual orientation, pregnancy and pregnancy-related conditions, or any other characteristic protected by law."
"14","Data Scientist","CVS Health","Wellesley, MA","Explores existing data and recommends additional sources of data for improvements.","https://www.indeed.com/rc/clk?jk=1a5f92238f69e49e&fccid=be3b11aa573faee7&vjs=3","Full Job DescriptionLooking for opportunities to use cutting edge technologies analyzing petabytes of data in a world class Hadoop cluster? Interested in generating analytical insights that inform provider networks and engagement strategies that support members on their individualized health and wellness journey? Aetna's Provider & Network Analytics team delivers strategically impactful programs and tools that expand convenient access to high-quality and affordable care for all members across multiple channels across all stages of life. At Aetna, we’re pioneering a total approach to health and wellness. As a Data Scientist on the Analytics & Behavior Change team, you’ll build industry-leading analytics, data, and technology platforms to help reimagine health care. This position will play a critical role within a cross-functional team, delivering powerful solutions that inform network strategy and design, improve network performance and provider engagement, develop new provider offerings, and enhance consumer experience. You will be part of a fast-paced, innovative, collaborative team, helping solve problems, drive impact, and deliver key insights to our customers by leveraging innovations in data science, machine & deep learning, and predictive modeling techniques. You will derive meaning from data and deploy robust solutions through provider-directed engagement channels (e.g., digital) that helps consumers identify affordable care, when they need it, and with whom.Develops, validates and executes algorithms and predictive models to investigate problems, detect patterns and recommend solutions.Explores, examines and interprets large volumes of data in various forms.Performs analyses of structured and unstructured data to solve moderately complex business problems, utilizing advanced statistical techniques and mathematical analyses.Develops data structures and pipelines to organize, collect and standardize data that helps generate insights and addresses reporting needs.Uses data visualization techniques to effectively communicate analytical results and support business decisions.Creates and evaluates the data needs of assigned projects and assures the integrity of the data.Explores existing data and recommends additional sources of data for improvements.Documents projects including business objectives, data gathering and processing, detailed set of results and analytical metrics.Required Qualifications
3 years of relevant programming or analytic experience.Demonstrates good written and verbal communication skills.Able to present information to various audiences.Effectively resolves problems and roadblocks as they occur.Demonstrates proficiency in several areas of data modeling, machine learning algorithms, statistical analysis, data engineering and data visualization.Ability to work with large data sets from multiple data sources.Bachelor's degree or equivalent work experience in Mathematics, Statistics, Computer Science, Business Analytics, Economics, Physics, Engineering, or related discipline.Masters degree preferred.Preferred Qualifications
Please review required qualifications aboveEducation
Master's degreeBusiness Overview
At CVS Health, we are joined in a common purpose: helping people on their path to better health. We are working to transform health care through innovations that make quality care more accessible, easier to use, less expensive and patient-focused. Working together and organizing around the individual, we are pioneering a new approach to total health that puts people at the heart.
We strive to promote and sustain a culture of diversity, inclusion and belonging every day. CVS Health is an equal opportunity and affirmative action employer. We do not discriminate in recruiting, hiring or promotion based on race, ethnicity, sex/gender, sexual orientation, gender identity or expression, age, disability or protected veteran status or on any other basis or characteristic prohibited by applicable federal, state, or local law. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities."
"15","Associate Data Analyst, Customer Experience and Strategy","Criteo","Boston, MA","This role involves dealing with a considerable amount of complex data and requires a candidate who is comfortable thinking of innovative ways to analyze data…","https://www.indeed.com/rc/clk?jk=ae85741629e79158&fccid=d3ee4a7355a0fb60&vjs=3","Who we are
At Criteo, our culture is as unique as it is diverse. With offices around the world, our incredible team of 2,600 Criteos collaborates to create an open & inclusive environment. We work together to achieve our goals, push boundaries, and be impactful. All of this supports us in our mission to power the world’s marketers with trusted & impactful advertising.
Do you enjoy solving real-world problems with data? Our business is built on a quantitative culture, and our analytics teams are involved in driving decisions across the organization. You will work on real-world business problems – it’s not just about crunching numbers – we transform business problems into business solutions through the use of data. We use these statistics to tell stories that drive strategic decisions.

As a Junior Data Analyst at Criteo you will use an analytical, data-driven approach to understand our clients’ needs and provide insights. You will be working closely with our mid-market account strategy team to help optimize their campaigns, present actionable insights, and answer challenging analytical questions.

This role involves dealing with a considerable amount of complex data and requires a candidate who is comfortable thinking of innovative ways to analyze data and solve problems. The ideal candidate will be able to properly convey the business impact of their analysis to both technical and non-technical audiences. This is an entry-level position, ideal for someone with 0-2 years of analytics experience – it offers the opportunity to develop skills and learn tools in a dynamic team environment.
What you'll do:
Provide end-to-end analysis, including formation of business needs, data gathering, data exploration, analysis and communication of results.
Develop a deep knowledge of Criteo’s technology, products, and position in the marketplace.
Identify and develop innovative analysis to address business challenges and client needs.
Build and maintain reporting tools that present actionable insights to teams across the business.
Partner with internal stakeholders to determine opportunities to have a positive impact on client performance.
Who you are:
Bachelor’s degree in a quantitative field (Mathematics, Computer Science, Engineering, Physics, Business, Economics, etc.)
Previous analytics experience in a related industry preferred, but not required.
Exposure to SQL, Tableau & Excel (familiarity with Python / R is a plus).
Outstanding analytical, interpersonal and problem-solving skills. An ability to turn analytics problems into business solutions for internal stakeholders.
Continuous learner who displays flexibility for adapting and adjusting strategies and/or operations in fast-paced environment.
Strong organizational skills and a comfort in managing multiple projects and priorities.
At Criteo, we are committed to creating an environment where all Criteos feel a sense of belonging. We nourish our diversity by listening to all cultures within Criteo - and there are many. We are proud to be a global team and conscious that it takes people with different perspectives, thoughts and cultures to succeed.
Criteo collects your personal data for the purposes of managing Criteo's recruitment related activities. Consequently, Criteo may use your personal data in relation to the evaluation and selection of applicants. Your information will be accessible to the different Criteo entities across the world. By clicking the ""Apply"" button you expressly give your consent."
"16","Data Scientist","PowerAdvocate","Boston, MA","Full-stack data science/data engineering experience.","https://www.indeed.com/rc/clk?jk=cf17977ea147e984&fccid=35313a9314d13326&vjs=3","Company Description
Verisk is a leading data analytics provider serving customers in insurance, energy and specialized markets, and financial services. Using advanced technologies to collect and analyze billions of records, Verisk draws on unique data assets and deep domain expertise to provide first-to-market innovations integrated into customer workflows. We’ve been delivering predictive analytics and decision support solutions to our customers for nearly 50 years, helping them protect people, property, and financial assets. At Verisk, you’ll be part of an organization that’s committed to serving the long-term interests of our stakeholders, including the communities where we operate.
At Verisk, you can build an exciting career with meaningful work; create a positive and lasting impact on the business; and find the support, coaching, and training you need to advance your career. Our culture of innovation means your ideas on how to improve our business will be heard. As key contributors to our success, our team members enjoy working in a business-casual, collaborative environment that offers state-of-the-art resources, advanced technologies, and an excellent benefits package
Job Description
We are currently seeking a data scientist to join our team!
At PowerAdvocate, data scientists participate in all aspects of the data pipeline development process—from outlining the problem all the way to implementation in production. This includes data extraction and wrangling, database integration, model development and implementation. Data scientists contribute as part of an Agile team, in a fast-paced environment with high visibility to the rest of the company. They also participate in broader aspects of each project including communicating ongoing results and outcomes via effective visualizations and other presentation tools, as well as gaining a deeper understanding of the results produced and their applicability to our internal and external customers.
Roles and Responsibilities
In addition to the following, other duties may be assigned to meet business needs:
Extract, clean, audit and prepare data for analysis, relying on well-structured procedures and maintaining reproducibility of results
Design experiments to answer targeted questions and conduct exploratory data analysis
Analyze and judge the quality of data produced and proactively develop and implement solutions to data quality issues
Visualize and present results of analyses
Implement and maintain databases relevant to analytic solutions being developed
Develop and maintain data pipelines to deliver data to multiple parties
Interface with primary team members to construct, maintain, and automate client-related data to support other analyst teams in the Spend Intelligence & Cost Intelligence Groups
Develop both academically rigorous approaches and pragmatic quick-and-dirty-yet-useful tools for the real world
Qualifications
1-3+ years of relevant experience in Data Science, Statistics, Data Engineering, or Machine Learning projects
Full-stack data science/data engineering experience
Proficiency in Python; additional languages a plus
Solid understanding of SQL and relational database models
Basic shell scripting knowledge
Experience using scikit-learn/TensorFlow or other modeling tools for preliminary analysis and production-level solutions
Experience with Flask and/or related frameworks a plus
Experience with Airflow, Kubernetes, Docker and/or related data pipeline tools a plus
Proficiency in data profiling, cleaning, and mining
B.S./M.S. in a quantitative discipline: Data Science, Computer Science, Engineering, Data Engineering, etc.
Additional Information
Unsolicited resumes sent to PowerAdvocate, including unsolicited resumes sent to a PowerAdvocate business mailing address, fax machine or email address, or directly to PowerAdvocate employees, will be considered Verisk property. PowerAdvocate will NOT pay a fee for any placement resulting from the receipt of an unsolicited resume."
"17","Data Analytics Specialist","opentext","Boston, MA","REQUIRED SKILLS AND EXPERIENCE: Bachelor’s degree in economics, statistics, computer science, business or equivalent experience Experience in data analysis for…","https://www.indeed.com/rc/clk?jk=eb5b4b7cd709156d&fccid=c908408e676247d6&vjs=3","OPENTEXT - THE INFORMATION COMPANY

Together Carbonite and Webroot form the SMB and Consumer Division of OpenText. The mission of our joint offering is to make cyber resilience simple, reliable and accessible in the connected world. We foster a thriving, dynamic environment rich with inventive minds and entrepreneurial spirit and our employees are empowered and encouraged to build their careers at OpenText.

The experienced analyst who wants to work on the cutting-edge of technology with an established organization will find their dream career within Analytics at Opentext. The job will start with a remote work location. Once in-person work is safe the job will be based out of the Boston office. This is the dream role for someone whose passion is data, loves to solve problems and enjoys getting their hands dirty. In our global, growth-oriented company, you will make an impact and directly influence our future success. If you have an analytical mind and an appreciation for data, then join OpenText today and see where your skills can take you.

OpenText is seeking an experienced Data Analyst to help build and visualize operational metrics in tools including Tableau, SQL and Microsoft Excel to make the data readily available for stakeholders and decision makers. This person will have the ability to conduct detailed analysis of the operational data exposing new trends as they arise. The analytics team sits within the Strategy and Operations organization with a purview that includes executive reporting relating to Product, Marketing, Customer Retention, and Sales. Along with watching over the business from the highest level, the analytics team partners with core operators of each function to ensure accurate insight into key metrics and provide analysis driving decisions founded in data. The analyst will have their hand in large datasets covering millions of consumers and small businesses with responsibility to identify behavioral patterns and drive prescriptive change through predictive models.
RESPONSIBILITIES: Bring key stories within the business to life by visualizing corporate operating metrics using Tableau, Microsoft Excel and Microsoft Power Point Build and maintain dashboards and presentations for cross functional use catering to all levels of audience including executive teams Work cross-functionally with the Business Intelligence team to ensure appropriate use of both developed and source data Use Tableau and SQL derive insight from a multitude of different sources through the creative use of complex scripts, functions and calculated fields Develop business user facing models that help drive specific action for stakeholders relating to how we engage with our customers Partner with core operators of each function to ensure accurate insight into key metrics and develop detailed analysis driving decisions founded in data Explore underlying data tables to quickly find anomalies and work cross functionally towards accurate data Analyze results and evangelize the use of our corporate subscription metrics Create processes to ensure audience is best using tools and reports available to them Pioneer the use of new data sets and create processes for reporting and cross functional use
REQUIRED SKILLS AND EXPERIENCE: Bachelor’s degree in economics, statistics, computer science, business or equivalent experience Experience in data analysis for a metric focused SaaS company Extensive knowledge and demonstrated aptitude with Tableau or similar data visualization software Ability to write queries in SQL to extract meaningful information from complex data sets Strong Microsoft Excel skills to build models and perform ad-hoc tasks A self-starter who is dedicated with exceptional critical thinking abilities Ability to quickly understand relationships between metrics and operational action that can be taken by the business Proven ability to synthesize insights from structured and unstructured data Strong relationship management skills and ability to generate strong internal and external relationships – likes being a go-to person Proven ability to focus on what is usable vs. getting stuck too far in the details – knowing when to move on Demonstrated ability to work both independently and in a team environment Proven approach to problem solving and eagerness to adjust to rapidly-changing business priorities and challenges Excellent presentation, communication, and interpersonal skills, with strong attention to detail

At OpenText we understand and value diversity in our employees and are proud to be an Equal Opportunity Employer."
"18","Associate Data Scientist","Corvus Insurance","Boston, MA","Prototype tools and data pipelines to extract meaningful insight from innovative sources of data.","https://www.indeed.com/rc/clk?jk=315220455296dcd1&fccid=f51397a6478147a9&vjs=3","Full Job DescriptionWe're united by a mission: to make the world a safer place. Corvus Insurance uses artificial intelligence to better understand commercial insurance risk. Our software empowers brokers and policyholders to better predict and prevent complex risks through data-driven tools and Smart Commercial Insurance® policies. This allows us to reduce or eliminate the impact of adverse events, creating a safer world for everyone. Drawing inspiration from the intelligent, tool-building corvid family of birds, we are a team of high-flying collaborative builders. We're excited to meet you. Spread your wings, and soar with us.
Corvus is reimagining commercial insurance with data science and machine learning playing a critical role. Data Scientists at Corvus are a key component of our mission to find and use alternative sources of data that can help our clients mitigate risk and make the world a safer place.

We're looking for a full-stack data scientist who isn't intimidated by the prospect of working with large, messy data sets. You'll play a critical role in defining how data science can solve business problems, and will be responsible for the full data science life cycle, including defining the problem, prototyping data pipelines and building and implementing data science and machine learning products into client facing systems. In this role, you'll work closely with Software Engineers, and Underwriters to expand the reach and impact of our data products.

Responsibilities
Apply quantitative methods to solve complex data problems involving cyber risk modeling, natural language processing for industry classification, emerging cyber risk detection, etc...
Prototype tools and data pipelines to extract meaningful insight from innovative sources of data
Work closely with engineers to deploy and monitor Data Science Products
Collaborate with Underwriters and Actuaries to implement and act on findings from your work
Enable users across the organization to interact with and act upon our repository of security data
Qualifications
2+ years of experience as a Data Scientist or other quantitative role
A background working in cyber security is required
Experience with machine learning and statistical modeling
Experience with Python, R or other similar scripting languages
Expertise with SQL or other database querying language
Proven track record of rapid prototyping and development leveraging open source frameworks
Our Commitment

Corvus provides a seriously safe nest for people who come from all paths. Our flock represents a variety of backgrounds, perspectives, and skills. Although confidence can sometimes hold us back from applying for a job, we believe there's no such thing as a 'perfect' candidate. Corvus is a place where everyone can grow. So however you identify and whatever background you bring, please apply if this is a role that would make you excited to come into work every day

Corvus is committed to providing reasonable accommodations for individuals with disabilities. If you need assistance or an accommodation with our hiring process due to a disability, contact us at 857-259-3995 or careers@corvusinsurance.com.

Disclaimer: Bird puns are highly encouraged!"
"19","Data Scientist, Cardiovascular modeling","Alldus","Cambridge, MA","Ph.D. in bioinformatics, engineering, statistics, biostatistics, biomedical engineering, cancer biology, immunology, genetics, or similar with 3+ years of…","https://www.indeed.com/rc/clk?jk=c757fef423b82fa6&fccid=b4df24bc350094d0&vjs=3","Responsibilities
Lead biostatistics efforts in a team setting of fellow scientists and machine learning engineers
Cross-functional collaboration with other teams to integrate large-scale datasets and use bioinformatics to define the factors associated with drug response and resistance
Develop computational methods and build tools to enable data-driven patient stratification and inform the development of clinical decision support products
Identify scientifically relevant findings within datasets spanning multiple modalities
Develop scalable computational solutions to further clinical data analysis automation across projects
Communicate findings both internally and externally and recommend follow up actions
Qualifications
Ph.D. in bioinformatics, engineering, statistics, biostatistics, biomedical engineering, cancer biology, immunology, genetics, or similar with 3+ years of industry experience or strong academic record.
Demonstrated ability of contributing to multi-disciplinary team projects.
Expertise with programming language such as R AND Python for complex data analysis and reproducible research practices.
Mastery in integrating and analyzing diverse high-dimensional data sets relevant to oncology, immunology, and other areas of clinical relevance.
Capability to conduct systematic analyses to evaluate multiple hypotheses and prioritize clinically-relevant questions.
Scientific curiosity with an ability to identify questions that computational approaches can address, and the skills to develop solutions both independently and collaboratively.
Excellent problem-solving and collaboration skills.
Strong communication, data presentation, and visualization skills.
Strong publication record.
The perfect candidate will also have...
Experience in Cardiovascular modeling
Timeseries data experience"
"20","Full Time Opportunities for Students & Recent Graduates - MA...","Microsoft","Cambridge, MA","Strong background in machine learning and/or statistics.","https://www.indeed.com/rc/clk?jk=bd2d32a1e6455d95&fccid=734cb5a01ee60f80&vjs=3","A new technology paradigm is emerging, one with an intelligent cloud and an intelligent edge. To foster Microsoft’s leadership in this field, Microsoft has launched a ground-breaking program to develop the next generation of leaders in AI. Located at the Microsoft New England Research and Development Center (NERD), the Microsoft AI Development Acceleration Program (MAIDAP) is hiring soon-to-be and recent graduates from BS, MS, and PhD programs in Machine Learning or Data Science related fields. Over the course of two years, participants will work in interdisciplinary project teams to provide AI as a service to engineering teams across Microsoft and solve some of our most exciting and challenging AI problems. In addition, you will have mentors, exposure to leaders, and access to numerous AI data scientists, researchers and engineers across the company. After the program is completed, each participant will have the opportunity to work with one of the sponsoring Microsoft teams in Cambridge, MA or other Microsoft locations.
We are hiring a diverse cohort of graduates with degrees in Electrical Engineering, Computer Science, Data Science, Statistics, or other relevant fields for the following profiles.
Note: This is a program specifically for soon-to-be and recent graduates. Applications will only be accepted from candidates who have graduated or will graduate from their degree program between August 2020 and August 2021 and are available for full-time employment starting July 2021.
Responsibilities
Research, develop, and lead the implementation of AI solutions in application projects for Microsoft’s products and services.
Select and apply appropriate statistical and machine learning techniques to large-scale, high-dimensional data.
Stay current with the latest research and technology and communicate your knowledge throughout the organization.
Take responsibility for preparing data for analysis, review data preparation/ETL code and provide critical feedback on issues of data integrity.
Share knowledge by clearly articulating results and ideas to customers, managers, and key decision makers.
Patent and publish relevant IP and scientific research.
Up to 10% travel may be required.
Qualifications
Currently pursuing a degree or graduated within the last 12 months with a degree in the following fields: Electrical Engineering, Computer Science, Data Science, Statistics, or other related fields.
Prefer MS (or BS with 2+ years’ experience)
Energized by creating AI solutions that can positively impact the work and lives of millions of people.
Strong passion for data-driven learning.
Excited by the prospect of working on a wide variety of datasets and AI applications, across many products and engineering teams.
Believe that data science is a team sport.
Love being an active member of a diverse and inclusive cohort.
Strong background in machine learning and/or statistics.
1.5+ years’ experience in probabilistic graphical models/Bayesian networks/deep learning/reinforcement learning/time series/active learning, or other modeling paradigms.
Experience in Python/R/Scala or similar
Research publications are a plus.
Excellent written and oral communication skills
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
"21","Data Analyst Intern","PayPal","Boston, MA","Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.","https://www.indeed.com/rc/clk?jk=a54494c6adfd32d2&fccid=978d9fd9799d55a8&vjs=3","Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 286 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.
Job Description Summary: At PayPal, we’re literally reinventing how the world pays and gets paid. We understand that it’s about people. We connect individuals to let them shop, get paid, donate and send money using today’s technology with the confidence that comes from the security and control PayPal enables. Are you ready to help us change the world? The world’s leading payments company, PayPal, brings together a family of brands that are revolutionizing the way people move money. At PayPal you will be immersed in an amazing community with a vibrant culture that thrives on innovation, collaboration, inclusion and wellness. We are seeking world-class problem solvers who have a passion for data and a relentless focus on execution and delivery. You will be most successful with a healthy combination of both, technical skills and business acumen. As a Data Analyst you will generate insights by conducting extensive analyses of PayPal’s rich data. In the process, you will develop a deep understanding of the payments business, our site functionality, further strengthen your analytic, leadership and presentation skills and gain exposure to a wide variety of functional teams within PayPal.
Job Description:
Key Responsibilities
Understand how to make data visually appealing and simple to both navigate and comprehend for end-users
Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems
Identify key metrics and build exec-facing dashboards to track progress of the business and its highest priority initiatives
Identify key business levers, establish cause & effect, perform analyses, and communicate key findings to various stakeholders to facilitate data driven decision-making
Work closely across the matrix with teams like Finance, Marketing, Product, Engineering and senior executives
Lead and participate in special projects/initiatives: innovate and implement large-scale quality improvements to processes and/or systems by conducting data analysis and making recommendations, troubleshooting technical issues, and refining processes around customer support
 Basic Requirements:
Must be earning a Bachelor’s or Master’s degree in Computer Science, Math, Statistics or related field
Experience with one or multiple of the following will be highly desirable; Python, Java, Tableau, Jupyter Notebooks, Teradata, Hadoop/Hive, Oracle, JavaScript, SQL, Airflow, Linux, Perl, PHP
Excellent understanding of computer science fundamentals, data structures, and algorithms
Demonstrated experience, familiarity and ease with handling large data sets and crunching numbers
Information Retrieval (search/recommendation/classification) experience or Human Judgment/User Interface experience
Strong written and verbal communication skills with the ability to translate complex problems into simpler terms, and effectively influence both peers and senior leadership
Position Location: Varies
We're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.
PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities."
